product_title,sustainability_grade
Organic Bamboo Toothbrush - Biodegradable and Sustainable,A
Solar Powered LED String Lights - Eco Friendly Garden Lighting,A
Recycled Ocean Plastic Water Bottle - Zero Waste BPA Free,A
Organic Cotton Fair Trade T-Shirt - Sustainable Fashion,A
Bamboo Fiber Yoga Mat - Eco-Friendly Exercise Equipment,A
Compostable Phone Case - Biodegradable Protection,A
Hemp Seed Oil Moisturizer - Natural Organic Skincare,A
Upcycled Denim Tote Bag - Sustainable Shopping Bag,A
Solar Battery Charger - Renewable Energy Power Bank,A
Organic Beeswax Food Wraps - Zero Waste Kitchen,A
FSC Certified Wooden Cutting Board - Sustainable Kitchen,A
Organic Hemp Backpack - Eco Friendly Travel Bag,A
Solar Garden Stake Lights - Renewable Outdoor Lighting,A
Recycled Aluminum Water Bottle - Sustainable Hydration,A
Organic Cotton Bed Sheets - Fair Trade Bedding,A
Bamboo Smartphone Stand - Eco Friendly Tech Accessory,A
Compostable Coffee Pods - Zero Waste Brewing,A
Organic Shampoo Bar - Plastic Free Hair Care,A
Upcycled Tire Planter - Sustainable Garden Container,A
Solar Powered Radio - Renewable Energy Entertainment,A
Organic Bamboo Cutting Board - Sustainable Kitchen Tool,A
Hemp Protein Powder - Organic Plant Based Nutrition,A
Recycled Paper Journal - Eco Friendly Notebook,A
Organic Cotton Baby Clothes - Sustainable Infant Wear,A
Solar Window Thermometer - Renewable Energy Weather,A
Stainless Steel Water Bottle - Reusable and Durable,B
Energy Efficient LED Light Bulbs - Long Lasting 25000 Hours,B
Recycled Paper Notebook - Sustainable Office Supplies,B
Natural Wool Sweater - Durable and Warm Winter Clothing,B
Refillable Ink Pen - Reduced Waste Writing Instrument,B
Ceramic Travel Mug - Reusable Coffee Cup with Lid,B
Wooden Kitchen Utensils Set - Natural and Durable Cooking,B
Glass Food Storage Containers - Reusable Kitchen Organization,B
Cotton Canvas Sneakers - Durable Breathable Footwear,B
Natural Loofah Sponge - Biodegradable Cleaning Tool,B
Cork Yoga Block - Natural Exercise Equipment,B
Linen Tea Towels - Natural Kitchen Textiles,B
Wool Dryer Balls - Reusable Fabric Softener,B
Ceramic Dinner Plates - Durable Dishware Set,B
Natural Jute Rug - Sustainable Floor Covering,B
Wooden Picture Frame - Natural Home Decor,B
Cotton Mesh Produce Bags - Reusable Shopping,B
Glass Mason Jars - Multipurpose Storage Containers,B
Natural Bristle Cleaning Brush - Biodegradable Tool,B
Linen Curtains - Natural Window Treatment,B
Wooden Salad Bowl - Natural Kitchen Serving,B
Steel Lunch Box - Durable Food Container,B
Natural Rubber Bath Mat - Non Slip Safety,B
Cotton Dish Towels - Absorbent Kitchen Cleaning,B
Ceramic Flower Pot - Durable Garden Planter,B
Standard Cotton T-Shirt - Regular Fit Basic Tee,C
Basic Plastic Storage Box - Household Organization Container,C
Conventional Laundry Detergent - Standard Formula Cleaning,C
Regular Denim Jeans - Classic Fit Casual Pants,C
Standard Ceramic Mug - Kitchen Drinkware 12oz,C
Basic Polyester Pillow - Standard Comfort Sleep,C
Regular Plastic Tupperware - Food Storage Container Set,C
Standard Paper Towels - Household Cleaning Supplies,C
Basic Acrylic Paint Set - Art Supplies for Beginners,C
Regular Synthetic Carpet - Home Flooring 12x9 feet,C
Standard Office Chair - Basic Ergonomic Seating,C
Regular Plastic Hangers - Closet Organization 20 Pack,C
Basic Polyester Blanket - Standard Throw Cover,C
Standard Aluminum Foil - Kitchen Cooking Supplies,C
Regular Glass Drinking Glasses - Basic Drinkware Set,C
Basic Cotton Socks - Standard Comfort Footwear,C
Standard Plastic Trash Bags - Household Waste Management,C
Regular Paper Plates - Disposable Party Supplies,C
Basic Shower Curtain - Standard Bathroom Accessory,C
Standard Pencil Set - Basic Writing Supplies,C
Regular Notebook Paper - Standard School Supplies,C
Basic Dinner Fork Set - Standard Cutlery,C
Standard Bathroom Towel - Regular Cotton Terry,C
Basic Computer Mouse - Standard Office Equipment,C
Regular Cooking Pan - Standard Non Stick Kitchen,C
Disposable Plastic Cups - Single Use Party Supplies 50 Pack,D
Fast Fashion Polyester Dress - Trendy Seasonal Clothing,D
Plastic Disposable Razors - Single Use Shaving 10 Pack,D
Synthetic Microfiber Cloth - Chemical Treated Cleaning,D
Plastic Shopping Bags - Disposable Grocery Carrier 100 Pack,D
Single Use Coffee Pods - Disposable K-Cup Compatible 48 Count,D
Plastic Food Containers - Disposable Takeout Packaging,D
Synthetic Leather Jacket - Artificial PVC Material,D
Disposable Paper Plates - Single Use Dinnerware 100 Pack,D
Plastic Cutlery Set - Disposable Utensils Party Pack,D
Synthetic Carpet Tiles - Chemical Treated Flooring,D
Plastic Wrap - Single Use Food Storage Film,D
Disposable Plastic Tablecloth - Single Use Party Decor,D
Synthetic Fill Comforter - Chemical Treated Bedding,D
Plastic Disposable Containers - Single Use Storage,D
Synthetic Fabric Softener - Chemical Laundry Treatment,D
Plastic Disposable Gloves - Single Use Protection 100 Pack,D
Synthetic Air Freshener - Chemical Room Spray,D
Disposable Aluminum Pans - Single Use Cooking,D
Plastic Disposable Water Bottles - Single Use 24 Pack,D
Synthetic Rubber Gloves - Chemical Resistant Disposable,D
Plastic Foam Containers - Single Use Food Storage,D
Disposable Plastic Straws - Single Use Drinking 200 Pack,D
Synthetic Carpet Cleaner - Chemical Treatment Spray,D
Plastic Disposable Plates - Single Use Picnic Ware,D
Toxic Paint Remover - Harmful Chemical Stripper with Benzene,E
Non-Recyclable Foam Packaging - Wasteful Shipping Polystyrene,E
Planned Obsolescence Smartphone - 6 Month Lifespan Design,E
Excessive Plastic Packaging Toy - Triple Wrapped Wasteful,E
Chemical Pesticide Spray - Harmful Garden Treatment with Toxins,E
Non-Biodegradable Glitter - Environmental Pollutant Microplastic,E
Single Use Plastic Straws - Ocean Polluting Drinking 500 Pack,E
Toxic Nail Polish - Harmful Chemical Beauty with Formaldehyde,E
Fast Fashion Polyester Shirt - Polluting Sweatshop Clothing,E
Disposable Electronic Vape - Wasteful Lithium Battery Device,E
Lead Paint - Toxic Home Decoration with Heavy Metals,E
Mercury Thermometer - Harmful Medical Device,E
Asbestos Insulation - Dangerous Building Material,E
Chemical Drain Cleaner - Toxic Pipe Treatment with Acids,E
Non-Recyclable Electronics - Planned Obsolescence Tablet,E
Toxic Cleaning Spray - Harmful Household Chemical with VOCs,E
Single Use Plastic Bags - Ocean Destroying Shopping 1000 Pack,E
Chemical Fertilizer - Harmful Synthetic Lawn Treatment,E
Disposable Fashion Jewelry - Toxic Metal Costume Accessories,E
Wasteful Packaging Product - 10x Oversized Box for Small Item,E
Toxic Pesticide - Harmful Chemical Insect Killer,E
Non-Biodegradable Foam Cups - Ocean Polluting Disposable,E
Chemical Hair Dye - Toxic Beauty Product with Ammonia,E
Planned Obsolescence Headphones - 3 Month Lifespan Design,E
Excessive Plastic Toy Packaging - Wasteful Triple Wrapping,E
